Arquivo,Palavra,Ocorrencias
Dracula-165307.txt,frowning,4
Dracula-165307.txt,nicely,1
Dracula-165307.txt,acutely,1
Dracula-165307.txt,half,67
Dracula-165307.txt,hall,32
Dracula-165307.txt,quickest,3
Dracula-165307.txt,mullioned,1
Dracula-165307.txt,spontaneous,1
Dracula-165307.txt,pollution,1
Dracula-165307.txt,pretend,4
Dracula-165307.txt,guards,1
Dracula-165307.txt,wreck,2
Dracula-165307.txt,tea,22
Dracula-165307.txt,drunk,3
Dracula-165307.txt,imperfect,1
Dracula-165307.txt,pick,3
Dracula-165307.txt,clamps,1
Dracula-165307.txt,gloomy,1
Dracula-165307.txt,rattled,1
Dracula-165307.txt,ten,14
Dracula-165307.txt,sake,28
Dracula-165307.txt,daring,1
Dracula-165307.txt,exhaled,1
Dracula-165307.txt,energy,12
Dracula-165307.txt,conceal,3
Dracula-165307.txt,deference,1
Dracula-165307.txt,blasts,1
Dracula-165307.txt,_always_,2
Dracula-165307.txt,switzerland,2
Dracula-165307.txt,spreading,3
Dracula-165307.txt,require,4
Dracula-165307.txt,scratch,2
Dracula-165307.txt,carriers,5
Dracula-165307.txt,click,2
Dracula-165307.txt,47th,1
Dracula-165307.txt,1,50
Dracula-165307.txt,patronymic,1
Dracula-165307.txt,2,8
Dracula-165307.txt,3,14
Dracula-165307.txt,4,10
Dracula-165307.txt,walkin,1
Dracula-165307.txt,5,6
Dracula-165307.txt,6,8
Dracula-165307.txt,7,8
Dracula-165307.txt,8,7
Dracula-165307.txt,unhinged,2
Dracula-165307.txt,9,4
Dracula-165307.txt,klausenburgh,1
Dracula-165307.txt,protective,1
Dracula-165307.txt,goin,1
Dracula-165307.txt,newspaper,1
Dracula-165307.txt,telling,24
Dracula-165307.txt,flit,3
Dracula-165307.txt,klopstock,1
Dracula-165307.txt,hang,3
Dracula-165307.txt,vengeance,1
Dracula-165307.txt,gleams,3
Dracula-165307.txt,upholstery,1
Dracula-165307.txt,fearless,1
Dracula-165307.txt,cliff,23
Dracula-165307.txt,detrimentally,1
Dracula-165307.txt,roll,5
Dracula-165307.txt,turn,33
Dracula-165307.txt,turk,6
Dracula-165307.txt,grumpy,1
Dracula-165307.txt,hans,1
Dracula-165307.txt,gold,12
Dracula-165307.txt,result,11
Dracula-165307.txt,pier,17
Dracula-165307.txt,same,111
Dracula-165307.txt,matchbox,1
Dracula-165307.txt,selfish,11
Dracula-165307.txt,after,210
Dracula-165307.txt,rational,2
Dracula-165307.txt,_,318
Dracula-165307.txt,hand,210
Dracula-165307.txt,resume,2
Dracula-165307.txt,a,3012
Dracula-165307.txt,ordered,6
Dracula-165307.txt,b,5
Dracula-165307.txt,salt,2
Dracula-165307.txt,c,7
Dracula-165307.txt,d,28
Dracula-165307.txt,e,31
Dracula-165307.txt,f,16
Dracula-165307.txt,posture,2
Dracula-165307.txt,laden,4
Dracula-165307.txt,g,1
Dracula-165307.txt,h,3
Dracula-165307.txt,i,4843
Dracula-165307.txt,j,2
Dracula-165307.txt,weeping,1
Dracula-165307.txt,k,1
Dracula-165307.txt,eating,4
Dracula-165307.txt,l,2
Dracula-165307.txt,m,41
Dracula-165307.txt,blood,113
Dracula-165307.txt,n,1
Dracula-165307.txt,o,58
Dracula-165307.txt,the,8101
Dracula-165307.txt,p,20
Dracula-165307.txt,straight,22
Dracula-165307.txt,entering,11
Dracula-165307.txt,q,1
Dracula-165307.txt,halt,2
Dracula-165307.txt,sale,4
Dracula-165307.txt,r,7
Dracula-165307.txt,s,745
Dracula-165307.txt,t,251
Dracula-165307.txt,motioned,16
Dracula-165307.txt,u,7
Dracula-165307.txt,v,3
Dracula-165307.txt,tropics,1
Dracula-165307.txt,sunset,45
Dracula-165307.txt,exciting,2
Dracula-165307.txt,bubbling,1
Dracula-165307.txt,x,2
Dracula-165307.txt,y,2
Dracula-165307.txt,information,18
Dracula-165307.txt,dogged,2
Dracula-165307.txt,reeled,1
Dracula-165307.txt,straining,1
Dracula-165307.txt,november,15
Dracula-165307.txt,reopened,1
Dracula-165307.txt,shoals,1
Dracula-165307.txt,resolve,2
Dracula-165307.txt,shorne,1
Dracula-165307.txt,sufferer,1
Dracula-165307.txt,earthy,3
Dracula-165307.txt,earths,1
Dracula-165307.txt,good,258
Dracula-165307.txt,faithful,8
Dracula-165307.txt,empty,27
Dracula-165307.txt,tie,5
Dracula-165307.txt,skeleton,2
Dracula-165307.txt,suffered,13
Dracula-165307.txt,myriad,3
Dracula-165307.txt,besides,15
Dracula-165307.txt,copying,4
Dracula-165307.txt,serious,10
Dracula-165307.txt,tip,2
Dracula-165307.txt,laugh,28
Dracula-165307.txt,tis,1
Dracula-165307.txt,rome,1
Dracula-165307.txt,che,7
Dracula-165307.txt,owes,1
Dracula-165307.txt,quickening,2
Dracula-165307.txt,unchecked,1
Dracula-165307.txt,abated,1
Dracula-165307.txt,disguised,1
Dracula-165307.txt,gone,73
Dracula-165307.txt,sane,17
Dracula-165307.txt,sand,7
Dracula-165307.txt,walked,16
Dracula-165307.txt,frustrate,3
Dracula-165307.txt,sang,1
Dracula-165307.txt,owed,1
Dracula-165307.txt,aside,7
Dracula-165307.txt,forethought,2
Dracula-165307.txt,projecting,1
Dracula-165307.txt,sank,19
Dracula-165307.txt,reopening,1
Dracula-165307.txt,hark,3
Dracula-165307.txt,ascend,2
Dracula-165307.txt,blotted,4
Dracula-165307.txt,harm,19
Dracula-165307.txt,disturbed,10
Dracula-165307.txt,raging,1
Dracula-165307.txt,rope,4
Dracula-165307.txt,inmate,2
Dracula-165307.txt,displeased,1
Dracula-165307.txt,provided,4
Dracula-165307.txt,clinging,1
Dracula-165307.txt,hart,1
